Name,IATA,ICAO,Callsign,Country,Active
Intavia Limited,,FFL,,United Kingdom,N
InteliJet Airways,IJ,IJT,INTELIJET,Colombia,N
Intensive Air,,XRA,INTENSIVE,South Africa,N
Inter Air,,ITW,INTER WINGS,Bulgaria,N
Inter Express,,INX,INTER-EURO,Turkey,N
Inter Islands Airlines,H4,IIN,,Cape Verde,N
Inter RCA,,CAR,QUEBEC ROMEO,Central African Republic,N
Inter Tropic Airlines,,NTT,INTER-TROPIC,Sierra Leone,N
Inter-Air,,ITA,CAFEX,United States,N
Inter-Canadian,,ICN,INTER-CANADIAN,Canada,N
Inter-Island Air,,UGL,UGLY VAN,United States,N
Inter-Mountain Airways,,IMA,INTER-MOUNTAIN,United States,N
Inter-State Aviation,,ITS,INTER-STATE,United States,N
Interair South Africa,D6,ILN,INLINE,South Africa,Y
Interaire,,NTE,INTERMEX,Mexico,N
Interavia Airlines,ZA,SUW,ASTAIR,Russia,Y
Interaviatrans,,IVT,INTERAVIA,Ukraine,N
Intercontinental de Aviaci,RS,ICT,CONTAVIA,Colombia,N
Intercopters,,ICP,CHOPER,Spain,N
Interflight,,IFT,INTERFLIGHT,United Kingdom,N
Interflight (Learjet),,IJT,,United Kingdom,N
Interfly,,RFL,INFLY,Italy,N
Interfreight Forwarding,,IFF,INTERFREIGHT,Sudan,N
Interguide Air,,IGN,DIVINE AIR,Nigeria,N
Interisland Airlines,,ISN,TRI-BIRD,Philippines,N
Interisland Airways Limited,,IWY,ISLANDWAYS,Turks and Caicos Islands,N
Interjet,,MTF,INTERJET,Italy,N
Interjet Helicopters,,IHE,INTERCOPTER,Greece,N
Interlink Airlines,ID,ITK,INTERLINK,South Africa,Y
International Air Cargo Corporation,,IAK,AIR CARGO EGYPT,Egypt,N
International Air Corporation,,EXX,EXPRESS INTERNATIONAL,United States,N
International Air Service,,IAS,STARFLEET,United States,N
International Air Services,,IAX,INTERAIR SERVICES,Liberia,N
International Business Air,6I,IBZ,INTERBIZ,Sweden,N
International Business Aircraft,,IBY,CENTRAL STAGE,United States,N
International Charter Services,,ICS,INTERSERVI,Mexico,N
International Charter Xpress,,ICX,INTEX,United States,N
International Committee of the Red Cross,,RED,RED CROSS,Switzerland,N
International Company for Transport,,IIG, Trade and Public Works,ALDAWLYH AIR,N
International Flight Training Academy,,IFX,IFTA,United States,N
International Jet Aviation Services,,IJA,I-JET,United States,N
International Jet Charter,,HSP,HOSPITAL,United States,N
International SOS WIndhoek,,RSQ,SKYMEDIC,Namibia,N
International Sabilisation Assistance Force,,ISF,,United Kingdom,N
International Security Assistance Force,,THN,ATHENA,Canada,N
International Trans-Air,,ITH,INTRANS NIGERIA,Nigeria,N
Interport Corporation,,IPT,INTERPORT,United States,N
Intersky,,IKY,GENERAL SKY,Bulgaria,N
Intersky,3L,ISK,INTERSKY,Austria,Y
Interstate Airline,I4,FWA,FREEWAYAIR,Netherlands,N
Intervuelos,,ITU,INTERLOS,Mexico,N
Inversija,,INV,INVER,Latvia,N
Iona National Airways,,IND,IONA,Ireland,N
Iowa Airways,,IOA,IOWA AIR,United States,N
Iran Air,IR,IRA,IRANAIR,Iran,Y
Iran Aseman Airlines,EP,IRC,,Iran,Y
Iranair Tours,,IRB,,Iran,N
Naft Air Lines,,IRG,NAFT,Iran,N
Iraqi Airways,IA,IAW,IRAQI,Iraq,Y
Irbis Air,,BIS,IRBIS,Kazakhstan,N
Irish Air Corps,,IRL,IRISH,Ireland,N
Irish Air Transport,,RDK,IRISH TRANS,Ireland,N
Irish Aviation Authority,,XMR,AUTHORITY,Ireland,N
Irtysh Airlines,,IRT,IRTYSH AIRLINES,Uzbekistan,N
Irving Oil,,XIA,,Canada,N
Irving Oil Transport,,KCE,KACEY,Canada,N
Island Air,,ISI,ISLANDMEX,Mexico,N
Island Air Charters,,ILF,ISLAND FLIGHT,United States,N
Island Air Express,,XYZ,RAINBIRD,United States,N
Island Airlines,IS,,,United States,Y
Island Aviation,,SOY,SORIANO,Philippines,N
Island Aviation Services,,DQA,,Maldives,N
Island Aviation and Travel,,IOM,ISLE AVIA,United Kingdom,N
Island Express,2S,SDY,SANDY ISLE,United States,N
Cargo Plus Aviation,8L,CGP,,United Arab Emirates,Y
Island Helicopters,,MTP,METROCOPTER,United States,N
Island Link,,ILC,,Japan,N
Islandair Jersey,,IAJ,JARLAND,United Kingdom,N
Islands Nationair,CN,,,Papua New Guinea,N
Icebird Airline,,ICB,ICEBIRD,Iceland,N
Islas Airways,IF,ISW,PINTADERA,Spain,Y
Isle Grande Flying School,,IGS,ISLA GRANDE,United States,N
Islena De Inversiones,WC,ISV,,Honduras,Y
Isles of Scilly Skybus,,IOS,SCILLONIA,United Kingdom,N
Israel Aircraft Industries,,IAI,ISRAEL AIRCRAFT,Israel,N
Israeli Air Force,,IAF,,Israel,N
Israir,6H,ISR,ISRAIR,Israel,Y
Istanbul Airlines,,IST,ISTANBUL,Turkey,N
Itali Airlines,9X,ACL,ITALI,Italy,N
Italy First,,IFS,RIVIERA,Italy,N
Itek Air,GI,IKA,ITEK-AIR,Kyrgyzstan,Y
Ivoire Aero Services,,IVS,IVOIRE AERO,Ivory Coast,N
Ivoire Airways,,IVW,IVOIRAIRWAYS,Ivory Coast,N
Ivoire Jet Express,,IJE,IVOIRE JET,Ivory Coast,N
Iwamoto Crane Co Ltd,,OIC,,Japan,N
Ixair,,IXR,X-BIRD,France,N
Izair,H9,IZM,IZMIR,Turkey,N
Izhavia,,IZA,IZHAVIA,Russia,N
J C Bamford (Excavators),,JCB,JAYSEEBEE,United Kingdom,N
J P Hunt Air Carriers,,RFX,REFLEX,United States,N
J-Air,,JLJ,J AIR,Japan,N
JAL Express,JC,JEX,JANEX,Japan,Y
JALways,JO,JAZ,JALWAYS,Japan,Y
JDAviation,,JDA,JAY DEE,United Kingdom,N
JDP Lux,,JDP,RED PELICAN,Luxembourg,N
JHM Cargo Expreso,,JHM,,Costa Rica,N
JM Family Aviation,,TQM,TACOMA,United States,N
JMC Airlines,,JMC,JAYEMMSEE,United Kingdom,N
JSC Transport Automated Information Systems,1M,,,Russia,N
JS Air,,JSJ,JS CHARTER,Pakistan,N
JS Aviation,,JES,JAY-ESS AVIATION,Mexico,N
Jackson Air Services,,JCK,JACKSON,Canada,N
Jade Cargo International,,JAE,JADE CARGO,China,N
Jamahiriya Airways,,JAW,JAW,Libya,N
Jambo Africa Airlines,,JMB,JAMBOAFRICA,Democratic Republic of Congo,N
Jana-Arka,,JAK,YANZAR,Kazakhstan,N
Janair,,JAX,JANAIR,United States,N
Japan Air Commuter,,JAC,COMMUTER,Japan,N
Japan Aircraft Service,,JSV,,Japan,N
Japan Airlines,JL,JAL,JAPANAIR,Japan,Y
Japan Airlines Domestic,JL,JAL,J-BIRD,Japan,Y
Japan Asia Airways,EG,JAA,ASIA,Japan,Y
Japan Transocean Air,NU,JTA,JAI OCEAN,Japan,Y
Jat Airways,JU,JAT,JAT,Serbia,N
Jatayu Airlines,VJ,JTY,JATAYU,Indonesia,N
Jazeera Airways,J9,JZR,JAZEERA,Kuwait,Y
Jeju Air,7C,JJA,JEJU AIR,Republic of Korea,Y
Jenney Beechcraft,,JNY,JENAIR,United States,N
Jeppesen Data Plan,,XLD,,United States,N
Jeppesen UK,,JPN,JETPLAN,United Kingdom,N
Jet Air,,JEA,JETA,Poland,N
Jet Air Group,,JSI,SISTEMA,Russia,N
Jet Airways,9W,JAI,JET AIRWAYS,India,Y
Jet Airways,QJ,,,United States,Y
Jet Aspen Air Lines,,JTX,JET ASPEN,United States,N
Jet Aviation,,PJS,JETAVIATION,Switzerland,N
Jet Aviation Business Jets,,BZF,BIZFLEET,United States,N
Jet Center Flight Training,,JCF,JET CENTER,Spain,N
Jet Charter,,JCT,JET CHARTER,United States,N
Jetclub,0J,,,Switzerland,N
Jet Connection,,JCX,JET CONNECT,Germany,N
Jet Courier Service,,DWW,DON JUAN,United States,N
Jet East International,,JED,JET EAST,United States,N
Jet Executive International Charter,,JEI,JET EXECUTIVE,Germany,N
Jet Fighter Flights,,RZA,RAZOR,Australia,N
Jet Freighters,,CFT,CASPER FREIGHT,United States,N
Jet G&D Aviation,,JGD,JET GEE-AND-DEE,Israel,N
Jet Line International,,MJL,MOLDJET,Moldova,N
Jet Link,,JEK,JET OPS,Israel,N
Jet Link Aviation,,HTL,HEARTLAND,United States,N
Jet Norte,,JNR,JET NORTE,Mexico,N
Jet Rent,,JRN,JET RENT,Mexico,N
Jet Service,,JDI,JEDI,Poland,N
Jetstar Asia Airways,3K,JSA,JETSTAR ASIA,Singapore,Y
Jet Stream,,JSM,JET STREAM,Moldova,N
Jet Trans Aviation,,JTC,JETRANS,Ghana,N
Jet-2000,,JTT,MOSCOW JET,Russia,N
Jet-Ops,,OPS,OPS-JET,United Arab Emirates,N
Jet2.com,LS,EXS,CHANNEX,United Kingdom,Y
Jet4You,8J,JFU,ARGAN,Morocco,Y
JetAfrica Swaziland,,OSW,BEVO,Swaziland,N
JetBlue Airways,B6,JBU,JETBLUE,United States,Y
JetConnect,,QNZ,QANTAS JETCONNECT,New Zealand,N
JetMagic,,JMG,JET MAGIC,Ireland,N
Jetairfly,JF,JAF,BEAUTY,Belgium,Y
Jetall Holdings,,JTL,FIREFLY,Canada,N
Jetalliance,,JAG,JETALLIANCE,Austria,N
Jetclub,0J,JCS,JETCLUB,Switzerland,N
Jetcorp,,UEJ,JETCORP,United States,N
Jetcraft Aviation,,JCC,JETCRAFT,Australia,N
Jetex Aviation,,JXA,,Lebanon,N
Jetflite,,JEF,JETFLITE,Finland,Y
Jetfly Airlines,,JFL,LINEFLYER,Austria,N
Jetgo International,,JIC,JIC-JET,Thailand,N
Jetlink Express,,JLX,KEN JET,Kenya,N
Jetlink Holland,,JLH,,Netherlands,N
Jetnova de Aviacion Ejecutiva,,JNV,JETNOVA,Spain,N
Jetpro,,JPO,JETPRO,Mexico,N
Jetran Air,,MDJ,JETRAN AIR,Romania,N
Jetrider International,,JRI,JETRIDER,United Kingdom,N
Jets Ejecutivos,,JEJ,MEXJETS,Mexico,N
Jets Personales,,JEP,JET PERSONALES,Spain,N
Jets Y Servicios Ejecutivos,,JSE,SERVIJETS,Mexico,N
JetsGo,SG,JGO,JETSGO,Canada,N
Jetstar Airways,JQ,JST,JETSTAR,Australia,Y
Jetstream Air,,JSH,STREAM-AIR,Hungary,N
Jetstream Executive Travel,,JXT,VANNIN,United Kingdom,N
Jett Paqueteria,,JPQ,JETT PAQUETERIA,Mexico,N
Jett8 Airlines Cargo,JX,JEC,,Singapore,N
Jettime,,JTG,JETTIME,Denmark,N
Jettrain Corporation,,JTN,JETTRAIN,United States,N
Jetways of Iowa,,JWY,JETWAYS,United States,N
Jetx Airlines,GX,JXX,JETBIRD,Iceland,N
Jibair,,JIB,JIBAIRLINE,Djibouti,N
Jigsaw Project,,JSW,JIGSAW,United Kingdom,N
Jim Hankins Air Service,,HKN,HANKINS,United States,N
Jim Ratliff Air Service,,RAS,SHANHIL,United States,N
Joanas Avialinijos,,JDG,LADYBLUE,Lithuania,N
Job Air,,JBR,JOBAIR,Czech Republic,N
Johnson Air,,JHN,AIR JOHNSON,United States,N
Johnsons Air,,JON,JOHNSONSAIR,Ghana,N
Johnston Airways,,JMJ,JOHNSTON,United States,N
Joint Military Commission,,JMM,JOICOMAR,Sudan,N
Jomartaxi Aereo,,JMT,JOMARTAXI,Mexico,N
Jonsson,,ODI, H Air Taxi,ODINN,N
Jordan Aviation,R5,JAV,JORDAN AVIATION,Jordan,N
Jordan International Air Cargo,,JCI,,Jordan,N
Jorvik,,JVK,ISLANDIC,Iceland,N
Ju-Air,,JUR,JUNKERS,Switzerland,N
Juanda Flying School,,JFS,JAEMCO,Indonesia,N
Juba Cargo Services & Aviation Company,,JUC,JUBA CARGO,Sudan,N
Jubba Airways,,JUB,JUBBA,Somali Republic,N
Jubilee Airways,,DKE,DUKE,United Kingdom,N
Juneyao Airlines,HO,DKH,JUNEYAO AIRLINES,China,Y
Justair Scandinavia,,MEY,MELODY,Sweden,N
Justice Prisoner and Alien Transportation System,,DOJ,JUSTICE,United States,N
K D Air Corporation,,KDC,KAY DEE,Canada,N
K S Avia,,KSA,SKY CAMEL,Latvia,N
K-Mile Air,,KMI,KAY-MILE AIR,Thailand,N
KD Avia,KD,KNI,KALININGRAD AIR,Russia,Y
KLM Cityhopper,WA,KLC,CITY,Netherlands,Y
KLM Helicopter,,KLH,KLM HELI,Netherlands,N
KLM Royal Dutch Airlines,KL,KLM,KLM,Netherlands,Y
Kabo Air,N2,QNK,KABO,Nigeria,N
Kahama Mining Corporation,,KMC,KAHAMA,Tanzania,N
Kaiser Air,,KAI,KAISER,United States,N
Kalitta Air,K4,CKS,CONNIE,United States,N
Kalitta Charters,,KFS,KALITTA,United States,N
Kallat El Saker Air Company,,KES,KALLAT EL SKER,Libya,N
Kam Air,RQ,KMF,KAMGAR,Afghanistan,Y
Kampuchea Airlines,E2,KMP,KAMPUCHEA,Cambodia,N
Kanaf-Arkia Airlines,,KIZ,,Israel,N
Kanfey Ha'emek Aviation,,KHE,KANFEY HAEMEK,Israel,N
Kansas State University,,KSU,K-STATE,United States,N
Karat,V2,AKT,AVIAKARAT,Russia,N
Karibu Airways Company,,KRB,KARIBU AIR,Tanzania,N
Karlog Air Charter,,KLG,KARLOG,Denmark,N
Karthago Airlines,,KAJ,KARTHAGO,Tunisia,N
Kartika Airlines,,KAE,KARTIKA,Indonesia,N
Kata Transportation,,KTV,KATAVIA,Sudan,N
Katekavia,,KTK,KATEKAVIA,Russia,N
Kato Airline,,KAT,KATO-AIR,Norway,N
Kavminvodyavia,KV,MVD,AIR MINVODY,Russia,Y
Kavouras Inc,,XKA,,United States,N
Kaz Agros Avia,,KRN,ANTOL,Kazakhstan,N
Kaz Air West,,KAW,KAZWEST,Kazakhstan,N
Kazan Aviation Production Association,,KAO,KAZAVAIA,Russia,N
Kazan Helicopters,,KPH,KAMA,Russia,N
Kazavia,,KKA,KAKAIR,Kazakhstan,N
Kazaviaspas,,KZS,SPAKAZ,Kazakhstan,N
Keenair Charter -,,JFK,KEENAIR,United Kingdom,N
Kelix Air,,KLX,KELIX,Nigeria,N
Kelner Airways,,FKL,KELNER,Canada,N
Kelowna Flightcraft Air Charter,,KFA,FLIGHTCRAFT,Canada,N
Kendell Airlines,,KDA,KENDELL,Australia,Y
Kenmore Air,M5,KEN,KENMORE,United States,Y
Kenn Borek Air,,KBA,BOREK AIR,Canada,N
Kent Aviation,,KAH,DEKAIR,Canada,N
Kenya Airways,KQ,KQA,KENYA,Kenya,Y
Kevis,,KVS,KEVIS,Kazakhstan,N
Key Airlines,,KEY,KEY AIR,United States,N
Key Lime Air,,LYM,KEY LIME,United States,N
Keystone Aerial Surveys,,FTP,FOOTPRINT,United States,N
Keystone Air Services,BZ,KEE,KEYSTONE,Canada,N
Khalifa Airways,,KZW,KHALIFA AIR,Algeria,N
Kharkov Aircraft Manufacturing Company,,WKH,WEST-KHARKOV,Ukraine,N
Khazar,,KHR,KHAZAR,Turkmenistan,N
Khoezestan Photros Air Lines,,KHP,PHOTROS AIR,Iran,N
Khoriv-Avia,,KRV,KHORIV-AVIA,Ukraine,N
Khors Aircompany,,KHO,AIRCOMPANY KHORS,Ukraine,N
Khyber Afghan Airlines,,KHY,KHYBER,Afghanistan,N
Kiev Aviation Plant,,UAK,AVIATION PLANT,Ukraine,N
King Aviation,,KNG,KING,United Kingdom,N
Kingfisher Air Services,,BEZ,SEA BREEZE,United States,N
Kingfisher Airlines,IT,KFR,KINGFISHER,India,Y
Knighthawk Air Express,,KNX,KNIGHT FLIGHT,Canada,N
Kingston Air Services,,KAS,KINGSTON AIR,Canada,N
Kinnarps,,KIP,KINNARPS,Sweden,N
Kinshasa Airways,,KNS,KINSHASA AIRWAYS,Democratic Republic of the Congo,N
Kirov Air Enterprise,,KTA,VYATKA-AVIA,Russia,N
Kish Air,Y9,IRK,KISHAIR,Iran,Y
Kitty Hawk Aircargo,,KHA,AIR KITTYHAWK,United States,N
Kitty Hawk Airways,,KHC,CARGO HAWK,United States,N
Kiwi International Air Lines,KP,KIA,KIWI AIR,United States,N
Knight Air,,KNA,KNIGHTAIR,Canada,N
Knighthawk Express,,KHX,RIZZ,United States,N
Knights Airlines,,KGT,KNIGHT-LINER,Nigeria,N
Koanda Avacion,,KOA,KOANDA,Spain,N
Koda International,,OYE,KODA AIR,Nigeria,N
Kogalymavia Air Company,7K,KGL,KOGALYM,Russia,Y
Kom Activity,,KOM,COMJET,Netherlands,N
Komiaviatrans State Air Enterprise,,KMA,KOMI AVIA,Russia,N
Komiinteravia,8J,KMV,KOMIINTER,Russia,N
Komsomolsk-on-Amur Air Enterprise,,KNM,KNAAPO,Russia,N
Koob-Corp - 96 KFT,,KOB,AUTOFLEX,Hungary,N
Korean Air,KE,KAL,KOREANAIR,Republic of Korea,Y
Kosmas Air,,KMG,KOSMAS CARGO,Serbia,N
Kosmos,,KSM,KOSMOS,Russia,Y
Kosova Airlines,,KOS,KOSOVA,Serbia,N
Kovar Air,,WOK,WOKAIR,Czech Republic,N
Krasnojarsky Airlines,7B,KJC,KRASNOJARSKY AIR,Russia,Y
Kremenchuk Flight College,,KFC,KREMENCHUK,Ukraine,N
Krimaviamontag,,KRG,AVIAMONTAG,Ukraine,N
Kroonk Air Agency,,KRO,KROONK,Ukraine,N
Krylo Airlines,K9,KRI,Krylo,Russia,N
Krym,,KYM,CRIMEA AIR,Ukraine,N
Krystel Air Charter,,OPC,OPTIC,United Kingdom,N
Kuban Airlines,GW,KIL,AIR KUBAN,Russia,Y
Kunpeng Airlines,VD,KPA,KUNPENG,China,N
Kurzemes Avio,,KZA,,Russia,N
Kustbevakningen,,KBV,SWECOAST,Sweden,N
Kuwait Airways,KU,KAC,KUWAITI,Kuwait,Y
Kuzu Airlines Cargo,GO,KZU,KUZU CARGO,Turkey,Y
Kvadro Aero,,QVR,PEGASO,Kyrgyzstan,N
Kwena Air,,KWN,KWENA,South Africa,N
Kyrgyz Airlines,N5,KGZ,BERMET,Kyrgyzstan,N
Kyrgyz Trans Avia,,KTC,DINARA,Kyrgyzstan,N
Kyrgyzstan,QH,LYN,ALTYN AVIA,Kyrgyzstan,N
Kyrgyzstan Airlines,R8,KGA,KYRGYZ,Kyrgyzstan,N
Kyrgyzstan Department of Aviation,,DAM,FLIGHT RESCUE,Kyrgyzstan,N
Kyrgz General Aviation,,KGB,KEMIN,Kyrgyzstan,N
Kibris T,KY,KYV,AIRKIBRIS,Turkey,N
L A Helicopter,,LAH,STAR SHIP,United States,N
L J Aviation,,LJY,ELJAY,United States,N
L R Airlines,,LRB,LADY RACINE,Czech Republic,N
L&L Flygbildteknik,,PHO,PHOTOFLIGHT,Sweden,N
L'Express,,LEX,LEX,United States,N
L-3 Communications Flight Internation Aviation,,FNT,FLIGHT INTERNATIONAL,United States,N
L.A.B. Flying Service,JF,LAB,LAB,United States,N
LACSA,LR,LRC,LACSA,Costa Rica,Y
LADE - Lineas Aereas Del Estado,,LDE,LADE,Argentina,N
LAI - Linea Aerea IAACA,KG,BNX,AIR BARINAS,Venezuela,N
LAN Airlines,LA,LAN,LAN,Chile,Y
LAN Argentina,4M,DSM,LAN AR,Argentina,Y
LAN Cargo,,LCO,LAN CARGO,Chile,N
LAN Dominica,,LNC,LANCANA,Dominican Republic,N
LAN Express,LU,LXP,LANEX,Chile,Y
LAN Peru,LP,LPE,LANPERU,Peru,Y
LANSA,,LSA,INTERNACIONAL,Dominican Republic,N
LAP Colombia - Lineas Aereas Petroleras,,APT, S.A.,LAP,N
LASTP,,OTN,LASTP,S,N
LC Busre,,LCB,BUSRE,Peru,N
LOT Polish Airlines,LO,LOT,POLLOT,Poland,Y
LTE International Airways,XO,LTE,FUN JET,Spain,Y
LTU Austria,L3,LTO,BILLA TRANSPORT,Austria,Y
LTU International,LT,LTU,LTU,Germany,N
LTV Jet Fleet Corporation,,JFC,JET-FLEET,United States,N
LUKoil-Avia,,LUK,LUKOIL,Russia,N
La Ronge Aviation Services,,ASK,AIR SASK,Canada,N
La Valenciana Taxi Aereo,,LVT,TAXIVALENCIANA,Mexico,N
Labcorp,,SKQ,SKYLAB,United States,N
Labrador Airways,,LAL,LAB AIR,Canada,N
Lagun Air,N6,JEV,,Spain,N
Lake Havasu Air Service,,HCA,HAVASU,United States,N
Lakeland Aviation,,LKL,LAKELAND,United States,N
Laker Airways,,LKR,LAKER,United States,N
Laker Airways (Bahamas),,LBH,LAKER BAHAMAS,United States,N
Lamra,,LMR,LAMAIR,Sudan,N
Lanaes Aereas Trans Costa Rica,,TCR,TICOS,Costa Rica,N
Landsflug,,ISL,ISLANDIA,Iceland,N
Langtry Flying Group,,PAP,PROFLIGHT,United Kingdom,N
Lankair,IK,LKN,Lankair,Sri Lanka,N
Lanza Air,,LZA,AEROLANZA,Spain,N
Lanzarote Aerocargo,,LZT,BARAKA,Spain,N
Lao Air Company,,LLL,LAVIE,Lao Peoples Democratic Republic,N
Lao Airlines,QV,LAO,LAO,Lao Peoples Democratic Republic,Y
Lao Capricorn Air,,LKA,NAKLOA,Lao Peoples Democratic Republic,N
Laoag International Airlines,L7,LPN,LAOAG AIR,Philippines,N
Laredo Air,,LRD,LAREDO AIR,United States,N
LatCharter,,LTC,LATCHARTER,Latvia,Y
Latvian Air Force,,LAF,LATVIAN AIRFORCE,Latvia,N
Lauda Air,NG,LDA,LAUDA AIR,Austria,Y
Lauda Air Italy,,LDI,LAUDA ITALY,Italy,N
Laughlin Express,,LEP,LAUGHLIN EXPRESS,United States,N
Laus,,LSU,LAUS AIR,Croatia,N
Lawrence Aviation,,LAR,LAWRENCE,United States,N
Layang-Layang Aerospace,,LAY,LAYANG,Malaysia,N
Lease-a-Plane International,,LPL,LEASE-A-PLANE,United States,N
Lebanese Air Transport,LQ,LAQ,LAT,Lebanon,N
Lebanese Air Transport (Charter),,LAT,LEBANESE AIR,Lebanon,N
Lebanon Airport Development Corporation,,LAD,LADCO-AIR,United States,N
Leconte Airlines,,LCA,LECONTE,United States,N
Leeward Islands Air Transport,LI,LIA,LIAT,Antigua and Barbuda,Y
Legend Airlines,,LGD,LEGENDARY,United States,N
Leisure Air,,LWD,LEISURE WORLD,United States,N
Lentini Aviation,,LEN,LENTINI,United States,N
Leo-Air,,LOR,LEO CHARTER,South Africa,N
Leonsa De Aviacion,,LEL,LEONAVIA,Spain,N
Libyan Airlines,,LYW,LIBYAN AIRWAYS,Libya,N
Libyan Arab Airlines,LN,LAA,LIBAIR,Libya,Y
Libyan Arab Air Cargo,,LCR,LIBAC,Libya,N
Lid Air,,LIQ,,Sweden,N
Lignes Aeriennes Congolaises,,LCG,CONGOLAISE,Democratic Republic of the Congo,N
Lignes Aeriennes Du Tchad,,LKD,LATCHAD,Chad,N
Lignes Mauritaniennes Air Express,,LME,LIMAIR EXPRESS,Mauritania,N
Lignes Nationales Aeriennes - Linacongo,,GCB,LINACONGO,Republic of the Congo,N
Lincoln Air National Guard,,GDQ,,United States,N
Lincoln Airlines,,LRT,,Australia,N
Lindsay Aviation,,LSY,LINDSAY AIR,United States,N
Linea Aerea Costa Norte,,NOT,COSTA NORTE,Chile,N
Linea Aerea Mexicana de Carga,,LMC,LINEAS DECARGA,Mexico,N
Linea Aerea SAPSA,L7,LNP,SAPSA,Chile,N
Linea Aerea de Fumig Aguas Negras,,NEG,AGUAS NEGRAS,Chile,N
Linea Aerea de Servicio Ejecutivo Regional,8z,LER,LASER,Venezuela,N
Linea De Aeroservicios,,LSE,,Chile,N
Linea Turistica Aerotuy,LD,TUY,AEREOTUY,Venezuela,N
Lineas Aereas Alaire S.L.,,ALR,AEROLAIRE,Spain,N
Lineas Aereas Azteca,ZE,LCD,LINEAS AZTECA,Mexico,N
Lineas Aereas Canedo LAC,,LCN,CANEDO,Bolivia,N
Lineas Aereas Comerciales,,LCM,LINEAS COMERCIALES,Mexico,N
Lineas Aereas Ejectuivas De Durango,,EDD,LINEAS DURANGO,Mexico,N
Lineas Aereas Eldorado,,EDR,ELDORADRO,Colombia,N
Lineas Aereas Federales,,FED,FEDERALES,Argentina,N
Lineas Aereas Monarca,,LMN,LINEAS MONARCA,Mexico,N
Lineas Aereas San Jose,,LIJ,LINEAS JOSE,Mexico,N
Lineas Aereas del Humaya,,UMA,HUMAYA,Mexico,N
Linex,,LEC,LECA,Central African Republic,N
Linhas Aereas Santomenses,,SMS,SANTOMENSES,S,N
Linhas A,LM,LAM,MOZAMBIQUE,Mozambique,Y
Link Airways of Australia,,LAW,,Australia,N
Lion Air Services,,WGT,WORLDGATE,United Kingdom,N
Lion Mentari Airlines,JT,LNI,LION INTER,Indonesia,Y
Lions-Air,,LEU,LIONSAIR,Switzerland,N
Lithuanian Air Force,,LYF,LITHUANIAN AIRFORCE,Lithuania,N
Little Red Air Service,,LRA,LITTLE RED,Canada,N
Livingston,LM,LVG,LIVINGSTON,Italy,N
Lloyd Aereo Boliviano,LB,LLB,LLOYDAEREO,Bolivia,N
Lnair Air Services,,LNA,ELNAIR,Spain,N
Lockheed Air Terminal,,XLG,,United States,N
Lockeed Aircraft Corporation,,LAC,LOCKHEED,United States,N
Lockheed DUATS,,XDD,,United States,N
Lockheed Martin Aeronautics,,CBD,CATBIRD,United States,N
Lockheed Martin Aeronautics Company,,LNG,LIGHTNING,United States,N
Logan Air,,LOG,LOGAN,United Kingdom,N
Lom Praha Flying School,,CLV,AEROTRAINING,Czech Republic,N
Lomas Helicopters,,LMS,LOMAS,United Kingdom,N
London City Airport Jet Centre,,LCY,LONDON CITY,United Kingdom,N
London Executive Aviation,,LNX,LONEX,United Kingdom,N
London Flight Centre (Stansted),,LOV,LOVEAIR,United Kingdom,N
London Helicopter Centres,,LHC,MUSTANG,United Kingdom,N
Lone Star Airlines,,LSS,LONE STAR,United States,N
Long Island Airlines,,ORA,LONG ISLAND,United States,N
Longtail Aviation,,LGT,LONGTAIL,Bermuda,N
Lorraine Aviation,,LRR,LORRAINE,France,N
Los Cedros Aviacion,,LSC,CEDROS,Chile,N
Lotus Air,,TAS,LOTUS FLOWER,Egypt,N
Luchtvaartmaatschappij Twente,,LTW,TWENTAIR,Netherlands,N
Lucky Air,,LKE,LUCKY AIR,China,N
Luft Carago,,LUT,LUGO,South Africa,N
Luftfahrt-Vermietungs-Dienst,,LVD,AIR SANTE,Austria,N
Luftfahrtgesellschaft Walter,HE,LGW,WALTER,Germany,Y
Lufthansa,LH,DLH,LUFTHANSA,Germany,Y
Lufthansa Cargo,LH,GEC,LUFTHANSA CARGO,Germany,Y
Lufthansa CityLine,CL,CLH,HANSALINE,Germany,Y
Lufthansa Systems,L1,,,Germany,N
Lufthansa Technik,,LHT,LUFTHANSA TECHNIK,Germany,N
Lufttaxi Fluggesellschaft,DV,LTF,Garfield,Germany,N
Lufttransport,L5,LTR,LUFT TRANSPORT,Norway,Y
Luhansk,,LHS,ENTERPRISE LUHANSK,Ukraine,N
Lund University School of Aviation,,UNY,UNIVERSITY,Sweden,N
Luxair,LG,LGL,LUXAIR,Luxembourg,Y
Luxaviation,,LXA,RED LION,Luxembourg,N
Luxembourg Air Rescue,,LUV,LUX RESCUE,Luxembourg,N
Luxflight Executive,,LFE,LUX EXPRESS,Luxembourg,N
Luxor Air,,LXO,,Egypt,N
Luzair,,LUZ,LISBON JET,Portugal,N
Lviv Airlines,5V,UKW,UKRAINE WEST,Ukraine,N
Lydd Air,,LYD,LYDDAIR,United Kingdom,N
Lynch Flying Service,,LCH,LYNCH AIR,United States,N
Lynden Air Cargo,L2,LYC,LYNDEN,United States,N
Lynx Air International,,LXF,LYNX FLIGHT,United States,N
Lynx Aviation,,LYX,LYNX AIR,Pakistan,N
